src_ind,dst_ind,label,date,prediction
25646,42886,1,2020-01-01,-1.2722173
44873,3135,1,2020-01-01,1.3887264
53694,58168,1,2020-01-01,1.3887264
59813,10990,1,2020-01-01,1.3887264
56679,13849,1,2020-01-01,1.3887264
42001,34722,1,2020-01-01,-1.3896518
15826,25089,1,2020-01-01,-1.9378508
42230,43594,1,2020-01-01,1.3887264
52189,12598,1,2020-01-01,1.3887264
23577,64254,1,2020-01-01,1.3887264
17940,32809,1,2020-01-01,-1.3151009
29295,39217,1,2020-01-01,-1.3896518
9224,34722,1,2020-01-01,-1.3896518
25658,51564,1,2020-01-01,1.3887264
10279,34971,1,2020-01-02,-1.2303977
51200,30328,1,2020-01-02,-1.3896518
29971,11172,1,2020-01-02,1.3887264
39216,42155,1,2020-01-02,1.3887264
39216,21620,1,2020-01-02,1.3887264
10727,29391,1,2020-01-02,1.3887264
25810,34971,1,2020-01-02,-1.2303977
30863,34971,1,2020-01-02,-1.2303977
27437,7879,1,2020-01-02,1.3887264
39216,9181,1,2020-01-02,1.3887264
39216,41940,1,2020-01-02,1.3887264
62152,8352,1,2020-01-02,-1.1351911
49929,33659,1,2020-01-02,-1.3151009
28853,56729,1,2020-01-02,1.3887264
19235,8352,1,2020-01-02,-1.1351911
29849,38694,1,2020-01-02,-1.2722173
36273,12101,1,2020-01-02,-1.3151009
31311,11468,1,2020-01-02,-1.3151009
10980,64095,1,2020-01-02,-1.3151009
39216,35572,1,2020-01-02,1.3887264
39216,50172,1,2020-01-02,1.3887264
39216,15790,1,2020-01-02,1.3887264
39216,53095,1,2020-01-02,1.3887264
30084,53849,1,2020-01-02,1.3887264
42342,48127,1,2020-01-02,-0.9987303
58975,17798,1,2020-01-02,-1.3896518
46357,53849,1,2020-01-02,1.3887264
39216,25836,1,2020-01-02,1.3887264
45422,17325,1,2020-01-02,1.3887264
39216,9050,1,2020-01-02,1.3887264
2456,34729,1,2020-01-02,-1.2722173
60608,25823,1,2020-01-02,1.3887264
11381,17798,1,2020-01-02,-1.3896518
39216,8826,1,2020-01-02,1.3887264
58651,21847,1,2020-01-02,-1.3151009
39216,12523,1,2020-01-02,1.3887264
14262,56005,1,2020-01-03,-0.0285375
32979,7117,1,2020-01-03,-1.1351911
61205,18529,1,2020-01-03,-1.3151009
5112,4013,1,2020-01-03,-1.3151009
42297,4013,1,2020-01-03,-1.3151009
23251,55656,1,2020-01-03,1.3887264
21422,10282,1,2020-01-03,-1.3151009
22904,26870,1,2020-01-03,1.3887264
28785,55656,1,2020-01-03,1.3887264
15962,2421,1,2020-01-03,1.3887264
301,25551,1,2020-01-03,1.3887264
39216,51131,1,2020-01-03,1.3887264
39216,13572,1,2020-01-03,1.3887264
7986,33924,1,2020-01-03,-1.3151009
